,airportLocation,Color,Latitude,Longitude,airlineOptions
PIT,Austin ,'#ff0000',40.496,-80.246,Pittsburg (PIT): Allegiant Air
PDX,Austin ,'#ff0000',45.588611,-122.5975,Portland (PDX): Alaska Airlines
RDU,Austin ,'#ff0000',35.877778,-78.7875,"Raleigh/Durham (RDU): Delta Airlines, Southwest Airlines "
SMF,Austin ,'#ff0000',38.695556,-121.590833,Sacramento (SMF): Southwest Airlines
SLC,Austin ,'#ff0000',40.788333,-111.977778,"Salt Lake City (SLC): Delta Airlines, Frontier Airlines "
SAN,Austin ,'#ff0000',32.733611,-117.189722,"San Diego (SAN): Alaska Airlines, Frontier Airline, Southwest Airlines"
SFO,Austin ,'#ff0000',37.618889,-122.375,"San Francisco (SFO): Alaska Airlines, Frontier Airlines, Southwest Airlines, United Airlines "
SJC,Austin ,'#ff0000',37.362778,-121.929167,"San Jose (SJC): Alaska Airlines, Southwest Airlines "
SJD,Austin ,'#ff0000',23.151667, -109.720833,Los Cabos (SJD): Southwest Airlines
SNA,Austin ,'#ff0000',33.675556,-117.868333,Santa Anna (SNA): Frontier Airlines
SEA,Austin ,'#ff0000',47.448889,-122.309444,"Seattle (SEA): Alaska Airlines, Delta Airlines, Frontier Airlines "
STL,Austin ,'#ff0000',38.747222,-90.361389,St. Louis (STL): Southwest Airlines
TPA,Austin ,'#ff0000',27.975556,-82.533333,Tampa (TPA): Frontier Airlines
YYZ,Austin ,'#ff0000',43.676667, -79.630556,Toronto (YYZ): Air Canada
TUS,Austin ,'#ff0000',32.116111,-110.941111,Tuscon (TUS): Via Air
TUL,Austin ,'#ff0000',36.198333,-95.888056,Tulsa (TUL): Via Air
DCA,Austin ,'#ff0000',38.852222,-77.037778,Washington-Reagan (DCA): Southwest Airlines
IAD,Austin ,'#ff0000',38.944444,-77.455833,"Washington-Dulles (IAD): Frontier Airlines, United Airlines "
ABQ,San Antonio,'#000ff',35.039333,-106.610778,"Albuquerque (ABQ): Allegiant Air, Southwest Airlines "
AMA,San Antonio,'#000ff',35.219444,-101.705833,Amarillo (AMA): Via Air
ATL,San Antonio,'#000ff',33.636667,-84.428056,"Atlanta (ATL): Delta Airlines, Frontier Airlines, Spirit Airlines, Southwest Airlines"
BWI,San Antonio,'#000ff',39.175278,-76.668333,"Baltimore (BWI): Spirit Airlines, Southwest Airlines "
BTR,San Antonio,'#000ff',30.532778,-91.15,Baton Rouge (BTR): Via Air 
